ACT Symbol,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
A,"Agilent Technologies, Inc. Common Stock",N,A,N,100,N,A
AA,Alcoa Corporation Common Stock ,N,AA,N,100,N,AA
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,N,AACT,N,100,N,AACT
AACT.U,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",N,AACT.U,N,100,N,AACT=
AACT.W,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",N,AACT.WS,N,100,N,AACT+
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",N,AAM.U,N,100,N,AAM=
AAN,"Aarons Holdings Company, Inc. Common Stock ",N,AAN,N,100,N,AAN
AAP,Advance Auto Parts Inc.,N,AAP,N,100,N,AAP
AAT,"American Assets Trust, Inc. Common Stock",N,AAT,N,100,N,AAT
AB,AllianceBernstein Holding L.P.  Units,N,AB,N,100,N,AB
ABBV,AbbVie Inc. Common Stock,N,ABBV,N,100,N,ABBV
ABCB,Ameris Bancorp Common Stock,N,ABCB,N,100,N,ABCB
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,ABEV,N,100,N,ABEV
ABG,Asbury Automotive Group Inc Common Stock,N,ABG,N,100,N,ABG
ABM,ABM Industries Incorporated Common Stock,N,ABM,N,100,N,ABM
ABR,Arbor Realty Trust Common Stock,N,ABR,N,100,N,ABR
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",N,ABRpD,N,100,N,ABR-D
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,N,ABRpE,N,100,N,ABR-E
ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",N,ABRpF,N,100,N,ABR-F
ABT,Abbott Laboratories Common Stock,N,ABT,N,100,N,ABT
AC,"Associated Capital Group, Inc. Common Stock",N,AC,N,100,N,AC
ACA,"Arcosa, Inc. Common Stock ",N,ACA,N,100,N,ACA
