asset_1,asset_2,type_1,type_2
APO,CRM,equity,equity
APH,CDNS,equity,equity
AMD,BXP,equity,equity
APH,PNR,equity,equity
DPZ,VRSK,equity,equity
NRG,WFC,equity,equity
CRM,SYF,equity,equity
AOS,AMD,equity,equity
ENPH,WTW,equity,equity
NDAQ,NTRS,equity,equity
KEY,MTB,equity,equity
K,VRSN,equity,equity
ERIE,KHC,equity,equity
D,NUE,equity,equity
CNP,TGT,equity,equity
KO,WST,equity,equity
ADM,BALL,equity,equity
ENPH,VRSK,equity,equity
PAYX,SWKS,equity,equity
AON,DGX,equity,equity
DHR,KR,equity,equity
HD,NCLH,equity,equity
ETR,FOX,equity,equity
PPL,RSG,equity,equity
JKHY,VST,equity,equity
AMD,IRM,equity,equity
CVX,REG,equity,equity
AIG,ANET,equity,equity
ABNB,SPG,equity,equity
BBY,CZR,equity,equity
NSC,ORCL,equity,equity
AMP,PNC,equity,equity
PODD,JPM,equity,equity
ALLE,ADM,equity,equity
FSLR,K,equity,equity
PH,TFC,equity,equity
CPAY,TFC,equity,equity
CSCO,FTNT,equity,equity
CCL,CRM,equity,equity
ETN,FDX,equity,equity
FE,PHM,equity,equity
MU,SWK,equity,equity
BEN,TYL,equity,equity
BBY,WDC,equity,equity
ALLE,BXP,equity,equity
D,PFG,equity,equity
D,XOM,equity,equity
FSLR,MLM,equity,equity
D,ES,equity,equity
D,LIN,equity,equity
GLW,KEYS,equity,equity
EW,GD,equity,equity
CVS,DUK,equity,equity
EXPD,SBAC,equity,equity
DLR,TROW,equity,equity
CVX,FITB,equity,equity
FSLR,IRM,equity,equity
DLR,PNR,equity,equity
CVX,SYF,equity,equity
CVX,CRM,equity,equity
CVX,STT,equity,equity
ETN,IEX,equity,equity
CVX,WDAY,equity,equity
FSLR,PWR,equity,equity
MU,REGN,equity,equity
D,UHS,equity,equity
ENPH,KHC,equity,equity
D,FCX,equity,equity
ALLE,AVY,equity,equity
CF,PWR,equity,equity
PODD,RCL,equity,equity
CVX,ERIE,equity,equity
PEG,GWW,equity,equity
SNA,URI,equity,equity
EMN,EXR,equity,equity
CVX,MTB,equity,equity
ENPH,WST,equity,equity
D,MHK,equity,equity
AOS,NXPI,equity,equity
FSLR,VMC,equity,equity
CVX,HST,equity,equity
D,PHM,equity,equity
PKG,TT,equity,equity
FE,NVR,equity,equity
ERIE,O,equity,equity
CAG,CRWD,equity,equity
CVX,CMG,equity,equity
FE,LHX,equity,equity
CVX,FDS,equity,equity
ABNB,ROK,equity,equity
D,LEN,equity,equity
TECH,MSFT,equity,equity
D,MKTX,equity,equity
APH,APO,equity,equity
BAC,EMR,equity,equity
ADSK,GPN,equity,equity
ENPH,JKHY,equity,equity
D,INTC,equity,equity
D,GD,equity,equity
CBOE,CI,equity,equity
ALLE,FIS,equity,equity
